V1	V(n002)	Ix(D1:+)
-3.800000000000000e+00	-3.799997e+00	-1.351929e-08
-3.790000000000000e+00	-3.789997e+00	-1.351841e-08
-3.780000000000000e+00	-3.779997e+00	-1.351752e-08
-3.770000000000000e+00	-3.769997e+00	-1.351663e-08
-3.760000000000000e+00	-3.759997e+00	-1.351575e-08
-3.750000000000000e+00	-3.749997e+00	-1.351486e-08
-3.740000000000000e+00	-3.739997e+00	-1.351397e-08
-3.730000000000000e+00	-3.729997e+00	-1.351308e-08
-3.720000000000000e+00	-3.719997e+00	-1.351220e-08
-3.710000000000000e+00	-3.709997e+00	-1.351131e-08
-3.700000000000000e+00	-3.699997e+00	-1.351042e-08
-3.690000000000000e+00	-3.689997e+00	-1.350953e-08
-3.680000000000000e+00	-3.679997e+00	-1.350864e-08
-3.670000000000000e+00	-3.669997e+00	-1.350775e-08
-3.660000000000000e+00	-3.659997e+00	-1.350686e-08
-3.650000000000000e+00	-3.649997e+00	-1.350597e-08
-3.640000000000000e+00	-3.639997e+00	-1.350508e-08
-3.630000000000000e+00	-3.629997e+00	-1.350419e-08
-3.620000000000000e+00	-3.619997e+00	-1.350330e-08
-3.610000000000000e+00	-3.609997e+00	-1.350241e-08
-3.600000000000000e+00	-3.599997e+00	-1.350152e-08
-3.590000000000000e+00	-3.589997e+00	-1.350063e-08
-3.580000000000000e+00	-3.579997e+00	-1.349973e-08
-3.570000000000000e+00	-3.569997e+00	-1.349885e-08
-3.560000000000000e+00	-3.559997e+00	-1.349795e-08
-3.550000000000000e+00	-3.549997e+00	-1.349706e-08
-3.540000000000000e+00	-3.539997e+00	-1.349617e-08
-3.530000000000000e+00	-3.529997e+00	-1.349528e-08
-3.520000000000000e+00	-3.519997e+00	-1.349438e-08
-3.510000000000000e+00	-3.509997e+00	-1.349349e-08
-3.500000000000000e+00	-3.499997e+00	-1.349260e-08
-3.490000000000000e+00	-3.489997e+00	-1.349170e-08
-3.480000000000000e+00	-3.479997e+00	-1.349081e-08
-3.470000000000000e+00	-3.469997e+00	-1.348992e-08
-3.460000000000000e+00	-3.459997e+00	-1.348902e-08
-3.450000000000000e+00	-3.449997e+00	-1.348813e-08
-3.440000000000000e+00	-3.439997e+00	-1.348723e-08
-3.430000000000000e+00	-3.429997e+00	-1.348634e-08
-3.420000000000000e+00	-3.419997e+00	-1.348544e-08
-3.410000000000000e+00	-3.409997e+00	-1.348454e-08
-3.400000000000000e+00	-3.399997e+00	-1.348365e-08
-3.390000000000000e+00	-3.389997e+00	-1.348275e-08
-3.380000000000000e+00	-3.379997e+00	-1.348186e-08
-3.370000000000000e+00	-3.369997e+00	-1.348096e-08
-3.360000000000000e+00	-3.359997e+00	-1.348006e-08
-3.350000000000000e+00	-3.349997e+00	-1.347916e-08
-3.340000000000000e+00	-3.339997e+00	-1.347827e-08
-3.330000000000000e+00	-3.329997e+00	-1.347737e-08
-3.320000000000000e+00	-3.319997e+00	-1.347647e-08
-3.310000000000000e+00	-3.309997e+00	-1.347557e-08
-3.300000000000000e+00	-3.299997e+00	-1.347468e-08
-3.290000000000000e+00	-3.289997e+00	-1.347378e-08
-3.280000000000000e+00	-3.279997e+00	-1.347288e-08
-3.270000000000000e+00	-3.269997e+00	-1.347198e-08
-3.260000000000000e+00	-3.259997e+00	-1.347108e-08
-3.250000000000000e+00	-3.249997e+00	-1.347018e-08
-3.240000000000000e+00	-3.239997e+00	-1.346928e-08
-3.230000000000000e+00	-3.229997e+00	-1.346838e-08
-3.220000000000000e+00	-3.219997e+00	-1.346748e-08
-3.210000000000000e+00	-3.209997e+00	-1.346658e-08
-3.200000000000000e+00	-3.199997e+00	-1.346568e-08
-3.190000000000000e+00	-3.189997e+00	-1.346478e-08
-3.180000000000000e+00	-3.179997e+00	-1.346387e-08
-3.170000000000000e+00	-3.169997e+00	-1.346297e-08
-3.160000000000000e+00	-3.159997e+00	-1.346207e-08
-3.150000000000000e+00	-3.149997e+00	-1.346116e-08
-3.140000000000000e+00	-3.139997e+00	-1.346026e-08
-3.130000000000000e+00	-3.129997e+00	-1.345936e-08
-3.120000000000000e+00	-3.119997e+00	-1.345846e-08
-3.110000000000000e+00	-3.109997e+00	-1.345755e-08
-3.100000000000000e+00	-3.099997e+00	-1.345665e-08
-3.090000000000000e+00	-3.089997e+00	-1.345574e-08
-3.080000000000000e+00	-3.079997e+00	-1.345484e-08
-3.070000000000000e+00	-3.069997e+00	-1.345393e-08
-3.060000000000000e+00	-3.059997e+00	-1.345303e-08
-3.050000000000000e+00	-3.049997e+00	-1.345212e-08
-3.040000000000000e+00	-3.039997e+00	-1.345122e-08
-3.030000000000000e+00	-3.029997e+00	-1.345031e-08
-3.020000000000000e+00	-3.019997e+00	-1.344940e-08
-3.010000000000000e+00	-3.009997e+00	-1.344850e-08
-3.000000000000000e+00	-2.999997e+00	-1.344759e-08
-2.990000000000000e+00	-2.989997e+00	-1.344668e-08
-2.980000000000000e+00	-2.979997e+00	-1.344577e-08
-2.970000000000000e+00	-2.969997e+00	-1.344486e-08
-2.960000000000000e+00	-2.959997e+00	-1.344396e-08
-2.950000000000000e+00	-2.949997e+00	-1.344305e-08
-2.940000000000000e+00	-2.939997e+00	-1.344214e-08
-2.930000000000000e+00	-2.929997e+00	-1.344123e-08
-2.920000000000000e+00	-2.919997e+00	-1.344032e-08
-2.910000000000000e+00	-2.909997e+00	-1.343941e-08
-2.900000000000000e+00	-2.899997e+00	-1.343850e-08
-2.890000000000000e+00	-2.889997e+00	-1.343759e-08
-2.880000000000000e+00	-2.879997e+00	-1.343668e-08
-2.870000000000000e+00	-2.869997e+00	-1.343577e-08
-2.860000000000000e+00	-2.859997e+00	-1.343485e-08
-2.850000000000000e+00	-2.849997e+00	-1.343394e-08
-2.840000000000000e+00	-2.839997e+00	-1.343303e-08
-2.830000000000000e+00	-2.829997e+00	-1.343211e-08
-2.820000000000000e+00	-2.819997e+00	-1.343120e-08
-2.810000000000000e+00	-2.809997e+00	-1.343029e-08
-2.800000000000000e+00	-2.799997e+00	-1.342937e-08
-2.790000000000000e+00	-2.789997e+00	-1.342846e-08
-2.780000000000000e+00	-2.779997e+00	-1.342754e-08
-2.770000000000000e+00	-2.769997e+00	-1.342663e-08
-2.760000000000000e+00	-2.759997e+00	-1.342571e-08
-2.750000000000000e+00	-2.749997e+00	-1.342480e-08
-2.740000000000000e+00	-2.739997e+00	-1.342388e-08
-2.730000000000000e+00	-2.729997e+00	-1.342297e-08
-2.720000000000000e+00	-2.719997e+00	-1.342205e-08
-2.710000000000000e+00	-2.709997e+00	-1.342113e-08
-2.700000000000000e+00	-2.699997e+00	-1.342021e-08
-2.690000000000000e+00	-2.689997e+00	-1.341930e-08
-2.680000000000000e+00	-2.679997e+00	-1.341838e-08
-2.670000000000000e+00	-2.669997e+00	-1.341746e-08
-2.660000000000000e+00	-2.659997e+00	-1.341654e-08
-2.650000000000000e+00	-2.649997e+00	-1.341562e-08
-2.640000000000000e+00	-2.639997e+00	-1.341470e-08
-2.630000000000000e+00	-2.629997e+00	-1.341378e-08
-2.620000000000000e+00	-2.619997e+00	-1.341286e-08
-2.610000000000000e+00	-2.609997e+00	-1.341194e-08
-2.600000000000000e+00	-2.599997e+00	-1.341102e-08
-2.590000000000000e+00	-2.589997e+00	-1.341010e-08
-2.580000000000000e+00	-2.579997e+00	-1.340917e-08
-2.570000000000000e+00	-2.569997e+00	-1.340825e-08
-2.560000000000000e+00	-2.559997e+00	-1.340733e-08
-2.550000000000000e+00	-2.549997e+00	-1.340640e-08
-2.540000000000000e+00	-2.539997e+00	-1.340548e-08
-2.530000000000000e+00	-2.529997e+00	-1.340456e-08
-2.520000000000000e+00	-2.519997e+00	-1.340363e-08
-2.510000000000000e+00	-2.509997e+00	-1.340271e-08
-2.500000000000000e+00	-2.499997e+00	-1.340178e-08
-2.490000000000000e+00	-2.489997e+00	-1.340086e-08
-2.480000000000000e+00	-2.479997e+00	-1.339993e-08
-2.470000000000000e+00	-2.469997e+00	-1.339900e-08
-2.460000000000000e+00	-2.459997e+00	-1.339807e-08
-2.450000000000000e+00	-2.449997e+00	-1.339715e-08
-2.440000000000000e+00	-2.439997e+00	-1.339622e-08
-2.430000000000000e+00	-2.429997e+00	-1.339529e-08
-2.420000000000000e+00	-2.419997e+00	-1.339436e-08
-2.410000000000000e+00	-2.409997e+00	-1.339343e-08
-2.400000000000000e+00	-2.399997e+00	-1.339250e-08
-2.390000000000000e+00	-2.389997e+00	-1.339157e-08
-2.380000000000000e+00	-2.379997e+00	-1.339064e-08
-2.370000000000000e+00	-2.369997e+00	-1.338971e-08
-2.360000000000000e+00	-2.359997e+00	-1.338878e-08
-2.350000000000000e+00	-2.349997e+00	-1.338784e-08
-2.340000000000000e+00	-2.339997e+00	-1.338691e-08
-2.330000000000000e+00	-2.329997e+00	-1.338598e-08
-2.320000000000000e+00	-2.319997e+00	-1.338505e-08
-2.310000000000000e+00	-2.309997e+00	-1.338411e-08
-2.300000000000000e+00	-2.299997e+00	-1.338318e-08
-2.290000000000000e+00	-2.289997e+00	-1.338224e-08
-2.280000000000000e+00	-2.279997e+00	-1.338131e-08
-2.270000000000000e+00	-2.269997e+00	-1.338037e-08
-2.260000000000000e+00	-2.259997e+00	-1.337943e-08
-2.250000000000000e+00	-2.249997e+00	-1.337850e-08
-2.240000000000000e+00	-2.239997e+00	-1.337756e-08
-2.230000000000000e+00	-2.229997e+00	-1.337662e-08
-2.220000000000000e+00	-2.219997e+00	-1.337569e-08
-2.210000000000000e+00	-2.209997e+00	-1.337475e-08
-2.200000000000000e+00	-2.199997e+00	-1.337381e-08
-2.190000000000000e+00	-2.189997e+00	-1.337287e-08
-2.180000000000000e+00	-2.179997e+00	-1.337192e-08
-2.170000000000000e+00	-2.169997e+00	-1.337098e-08
-2.160000000000000e+00	-2.159997e+00	-1.337004e-08
-2.150000000000000e+00	-2.149997e+00	-1.336910e-08
-2.140000000000000e+00	-2.139997e+00	-1.336816e-08
-2.130000000000000e+00	-2.129997e+00	-1.336722e-08
-2.120000000000000e+00	-2.119997e+00	-1.336627e-08
-2.110000000000000e+00	-2.109997e+00	-1.336533e-08
-2.100000000000000e+00	-2.099997e+00	-1.336438e-08
-2.090000000000000e+00	-2.089997e+00	-1.336344e-08
-2.080000000000000e+00	-2.079997e+00	-1.336249e-08
-2.070000000000000e+00	-2.069997e+00	-1.336154e-08
-2.060000000000000e+00	-2.059997e+00	-1.336060e-08
-2.050000000000000e+00	-2.049997e+00	-1.335965e-08
-2.040000000000000e+00	-2.039997e+00	-1.335870e-08
-2.030000000000000e+00	-2.029997e+00	-1.335775e-08
-2.020000000000000e+00	-2.019997e+00	-1.335680e-08
-2.010000000000000e+00	-2.009997e+00	-1.335585e-08
-2.000000000000000e+00	-1.999997e+00	-1.335490e-08
-1.990000000000000e+00	-1.989997e+00	-1.335395e-08
-1.980000000000000e+00	-1.979997e+00	-1.335300e-08
-1.970000000000000e+00	-1.969997e+00	-1.335205e-08
-1.960000000000000e+00	-1.959997e+00	-1.335110e-08
-1.950000000000000e+00	-1.949997e+00	-1.335014e-08
-1.940000000000000e+00	-1.939997e+00	-1.334919e-08
-1.930000000000000e+00	-1.929997e+00	-1.334823e-08
-1.920000000000000e+00	-1.919997e+00	-1.334728e-08
-1.910000000000000e+00	-1.909997e+00	-1.334632e-08
-1.900000000000000e+00	-1.899997e+00	-1.334537e-08
-1.890000000000000e+00	-1.889997e+00	-1.334441e-08
-1.880000000000000e+00	-1.879997e+00	-1.334345e-08
-1.870000000000000e+00	-1.869997e+00	-1.334249e-08
-1.860000000000000e+00	-1.859997e+00	-1.334153e-08
-1.850000000000000e+00	-1.849997e+00	-1.334057e-08
-1.840000000000000e+00	-1.839997e+00	-1.333961e-08
-1.830000000000000e+00	-1.829997e+00	-1.333865e-08
-1.820000000000000e+00	-1.819997e+00	-1.333769e-08
-1.810000000000000e+00	-1.809997e+00	-1.333673e-08
-1.800000000000000e+00	-1.799997e+00	-1.333576e-08
-1.790000000000000e+00	-1.789997e+00	-1.333480e-08
-1.780000000000000e+00	-1.779997e+00	-1.333384e-08
-1.770000000000000e+00	-1.769997e+00	-1.333287e-08
-1.760000000000000e+00	-1.759997e+00	-1.333190e-08
-1.750000000000000e+00	-1.749997e+00	-1.333094e-08
-1.740000000000000e+00	-1.739997e+00	-1.332997e-08
-1.730000000000000e+00	-1.729997e+00	-1.332900e-08
-1.720000000000000e+00	-1.719997e+00	-1.332803e-08
-1.710000000000000e+00	-1.709997e+00	-1.332706e-08
-1.700000000000000e+00	-1.699997e+00	-1.332609e-08
-1.690000000000000e+00	-1.689997e+00	-1.332512e-08
-1.680000000000000e+00	-1.679997e+00	-1.332415e-08
-1.670000000000000e+00	-1.669997e+00	-1.332318e-08
-1.660000000000000e+00	-1.659997e+00	-1.332220e-08
-1.650000000000000e+00	-1.649997e+00	-1.332123e-08
-1.640000000000000e+00	-1.639997e+00	-1.332025e-08
-1.630000000000000e+00	-1.629997e+00	-1.331928e-08
-1.620000000000000e+00	-1.619997e+00	-1.331830e-08
-1.610000000000000e+00	-1.609997e+00	-1.331733e-08
-1.600000000000000e+00	-1.599997e+00	-1.331635e-08
-1.590000000000000e+00	-1.589997e+00	-1.331537e-08
-1.580000000000000e+00	-1.579997e+00	-1.331439e-08
-1.570000000000000e+00	-1.569997e+00	-1.331341e-08
-1.560000000000000e+00	-1.559997e+00	-1.331243e-08
-1.550000000000000e+00	-1.549997e+00	-1.331144e-08
-1.540000000000000e+00	-1.539997e+00	-1.331046e-08
-1.530000000000000e+00	-1.529997e+00	-1.330948e-08
-1.520000000000000e+00	-1.519997e+00	-1.330849e-08
-1.510000000000000e+00	-1.509997e+00	-1.330751e-08
-1.500000000000000e+00	-1.499997e+00	-1.330652e-08
-1.490000000000000e+00	-1.489997e+00	-1.330553e-08
-1.480000000000000e+00	-1.479997e+00	-1.330455e-08
-1.470000000000000e+00	-1.469997e+00	-1.330356e-08
-1.460000000000000e+00	-1.459997e+00	-1.330257e-08
-1.450000000000000e+00	-1.449997e+00	-1.330157e-08
-1.440000000000000e+00	-1.439997e+00	-1.330058e-08
-1.430000000000000e+00	-1.429997e+00	-1.329959e-08
-1.420000000000000e+00	-1.419997e+00	-1.329860e-08
-1.410000000000000e+00	-1.409997e+00	-1.329760e-08
-1.400000000000000e+00	-1.399997e+00	-1.329661e-08
-1.390000000000000e+00	-1.389997e+00	-1.329561e-08
-1.380000000000000e+00	-1.379997e+00	-1.329461e-08
-1.370000000000000e+00	-1.369997e+00	-1.329361e-08
-1.360000000000000e+00	-1.359997e+00	-1.329261e-08
-1.350000000000000e+00	-1.349997e+00	-1.329161e-08
-1.340000000000000e+00	-1.339997e+00	-1.329061e-08
-1.330000000000000e+00	-1.329997e+00	-1.328961e-08
-1.320000000000000e+00	-1.319997e+00	-1.328860e-08
-1.310000000000000e+00	-1.309997e+00	-1.328760e-08
-1.300000000000000e+00	-1.299997e+00	-1.328659e-08
-1.290000000000000e+00	-1.289997e+00	-1.328559e-08
-1.280000000000000e+00	-1.279997e+00	-1.328458e-08
-1.270000000000000e+00	-1.269997e+00	-1.328357e-08
-1.260000000000000e+00	-1.259997e+00	-1.328256e-08
-1.250000000000000e+00	-1.249997e+00	-1.328155e-08
-1.240000000000000e+00	-1.239997e+00	-1.328054e-08
-1.230000000000000e+00	-1.229997e+00	-1.327952e-08
-1.220000000000000e+00	-1.219997e+00	-1.327851e-08
-1.210000000000000e+00	-1.209997e+00	-1.327749e-08
-1.200000000000000e+00	-1.199997e+00	-1.327648e-08
-1.190000000000000e+00	-1.189997e+00	-1.327546e-08
-1.180000000000000e+00	-1.179997e+00	-1.327444e-08
-1.170000000000000e+00	-1.169997e+00	-1.327342e-08
-1.160000000000000e+00	-1.159997e+00	-1.327240e-08
-1.150000000000000e+00	-1.149997e+00	-1.327138e-08
-1.140000000000000e+00	-1.139997e+00	-1.327035e-08
-1.130000000000000e+00	-1.129997e+00	-1.326933e-08
-1.120000000000000e+00	-1.119997e+00	-1.326830e-08
-1.110000000000000e+00	-1.109997e+00	-1.326727e-08
-1.100000000000000e+00	-1.099997e+00	-1.326624e-08
-1.090000000000000e+00	-1.089997e+00	-1.326521e-08
-1.080000000000000e+00	-1.079997e+00	-1.326418e-08
-1.070000000000000e+00	-1.069997e+00	-1.326315e-08
-1.060000000000000e+00	-1.059997e+00	-1.326211e-08
-1.050000000000000e+00	-1.049997e+00	-1.326108e-08
-1.040000000000000e+00	-1.039997e+00	-1.326004e-08
-1.030000000000000e+00	-1.029997e+00	-1.325900e-08
-1.020000000000000e+00	-1.019997e+00	-1.325796e-08
-1.010000000000000e+00	-1.009997e+00	-1.325692e-08
-1.000000000000000e+00	-9.999974e-01	-1.325588e-08
-9.900000000000002e-01	-9.899973e-01	-1.325484e-08
-9.799999999999995e-01	-9.799973e-01	-1.325379e-08
-9.699999999999998e-01	-9.699973e-01	-1.325274e-08
-9.600000000000000e-01	-9.599974e-01	-1.325170e-08
-9.500000000000002e-01	-9.499974e-01	-1.325065e-08
-9.399999999999995e-01	-9.399974e-01	-1.324960e-08
-9.299999999999997e-01	-9.299973e-01	-1.324854e-08
-9.199999999999999e-01	-9.199973e-01	-1.324749e-08
-9.100000000000001e-01	-9.099973e-01	-1.324643e-08
-9.000000000000004e-01	-8.999974e-01	-1.324537e-08
-8.899999999999997e-01	-8.899974e-01	-1.324431e-08
-8.799999999999999e-01	-8.799974e-01	-1.324325e-08
-8.700000000000001e-01	-8.699973e-01	-1.324219e-08
-8.600000000000003e-01	-8.599973e-01	-1.324113e-08
-8.499999999999996e-01	-8.499973e-01	-1.324006e-08
-8.399999999999999e-01	-8.399974e-01	-1.323899e-08
-8.300000000000001e-01	-8.299974e-01	-1.323793e-08
-8.200000000000003e-01	-8.199974e-01	-1.323686e-08
-8.099999999999996e-01	-8.099974e-01	-1.323578e-08
-7.999999999999998e-01	-7.999973e-01	-1.323471e-08
-7.900000000000000e-01	-7.899973e-01	-1.323363e-08
-7.800000000000002e-01	-7.799973e-01	-1.323255e-08
-7.699999999999996e-01	-7.699974e-01	-1.323148e-08
-7.599999999999998e-01	-7.599974e-01	-1.323039e-08
-7.500000000000000e-01	-7.499974e-01	-1.322931e-08
-7.400000000000002e-01	-7.399973e-01	-1.322822e-08
-7.299999999999995e-01	-7.299973e-01	-1.322714e-08
-7.199999999999998e-01	-7.199973e-01	-1.322605e-08
-7.100000000000000e-01	-7.099974e-01	-1.322496e-08
-7.000000000000002e-01	-6.999974e-01	-1.322386e-08
-6.899999999999995e-01	-6.899974e-01	-1.322277e-08
-6.799999999999997e-01	-6.799974e-01	-1.322167e-08
-6.699999999999999e-01	-6.699973e-01	-1.322057e-08
-6.600000000000001e-01	-6.599973e-01	-1.321947e-08
-6.499999999999995e-01	-6.499974e-01	-1.321837e-08
-6.399999999999997e-01	-6.399974e-01	-1.321726e-08
-6.299999999999999e-01	-6.299974e-01	-1.321615e-08
-6.200000000000001e-01	-6.199974e-01	-1.321504e-08
-6.100000000000003e-01	-6.099973e-01	-1.321393e-08
-5.999999999999996e-01	-5.999973e-01	-1.321281e-08
-5.899999999999999e-01	-5.899974e-01	-1.321169e-08
-5.800000000000001e-01	-5.799974e-01	-1.321057e-08
-5.700000000000003e-01	-5.699974e-01	-1.320945e-08
-5.599999999999996e-01	-5.599974e-01	-1.320832e-08
-5.499999999999998e-01	-5.499973e-01	-1.320720e-08
-5.400000000000000e-01	-5.399973e-01	-1.320606e-08
-5.300000000000002e-01	-5.299973e-01	-1.320493e-08
-5.199999999999996e-01	-5.199974e-01	-1.320379e-08
-5.099999999999998e-01	-5.099974e-01	-1.320265e-08
-5.000000000000000e-01	-4.999973e-01	-1.320150e-08
-4.900000000000002e-01	-4.899974e-01	-1.320035e-08
-4.799999999999995e-01	-4.799974e-01	-1.319919e-08
-4.699999999999998e-01	-4.699973e-01	-1.319803e-08
-4.600000000000000e-01	-4.599974e-01	-1.319686e-08
-4.500000000000002e-01	-4.499974e-01	-1.319569e-08
-4.399999999999995e-01	-4.399974e-01	-1.319450e-08
-4.299999999999997e-01	-4.299974e-01	-1.319331e-08
-4.199999999999999e-01	-4.199974e-01	-1.319210e-08
-4.100000000000001e-01	-4.099974e-01	-1.319088e-08
-3.999999999999995e-01	-3.999974e-01	-1.318965e-08
-3.899999999999997e-01	-3.899974e-01	-1.318839e-08
-3.799999999999999e-01	-3.799974e-01	-1.318711e-08
-3.700000000000001e-01	-3.699974e-01	-1.318580e-08
-3.600000000000003e-01	-3.599974e-01	-1.318446e-08
